Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Purpose
35,Male,Skilled,Own,Moderate,Little,3500,Car
42,Female,Highly Skilled,Rent,Rich,Moderate,12000,Business
29,Male,Unskilled & Non-resident,Free,Little,Little,1800,Education
51,Female,Skilled,Own,Quite Rich,Rich,8500,Furniture/Equipment
38,Male,Highly Skilled,Rent,Moderate,Moderate,6200,Radio/TV
45,Female,Skilled,Own,Rich,Rich,15000,Vacation/Others
33,Male,Unskilled & Non-resident,Free,Little,Moderate,2700,Repairs
60,Female,Highly Skilled,Own,Quite Rich,Rich,20000,Business
27,Male,Skilled,Rent,Moderate,Little,3200,Domestic Appliances
36,Female,Unskilled & Non-resident,Free,Little,Little,1900,Education
