Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Purpose
56,Female,Skilled,Rent,Quite Rich,Moderate,11761,Car
69,Female,Skilled,Free,Rich,Rich,917,Domestic Appliances
46,Female,Unskilled & Non-resident,Own,Moderate,Moderate,9308,Radio/TV
32,Male,Unskilled & Non-resident,Own,Rich,Little,3767,Repairs
60,Male,Unskilled & Non-resident,Free,Moderate,Moderate,17709,Car
25,Male,Highly Skilled,Own,Rich,Little,6245,Radio/TV
38,Male,Unskilled & Non-resident,Free,Rich,Moderate,11838,Radio/TV
56,Male,Highly Skilled,Own,Moderate,Rich,912,Vacation/Others
36,Male,Skilled,Own,Moderate,Rich,8043,Radio/TV
40,Male,Highly Skilled,Rent,Moderate,Little,8087,Domestic Appliances
28,Male,Unskilled & Non-resident,Rent,Little,Little,1228,Business
28,Male,Skilled,Own,Quite Rich,Little,12157,Domestic Appliances
41,Female,Skilled,Own,Little,Moderate,6488,Education
70,Male,Skilled,Rent,Little,Moderate,19388,Car
53,Female,Highly Skilled,Rent,Rich,Little,3467,Business
57,Female,Unskilled & Non-resident,Rent,Moderate,Rich,15027,Vacation/Others
41,Female,Skilled,Free,Quite Rich,Moderate,19670,Business
20,Male,Skilled,Own,Rich,Moderate,16548,Business
39,Male,Skilled,Rent,Little,Moderate,18006,Repairs
70,Male,Highly Skilled,Own,Moderate,Little,18455,Business
19,Male,Highly Skilled,Free,Rich,Little,5573,Vacation/Others
41,Female,Unskilled & Non-resident,Free,Moderate,Little,5604,Domestic Appliances
61,Male,Highly Skilled,Rent,Rich,Little,2643,Business
47,Male,Skilled,Free,Moderate,Little,7857,Furniture/Equipment
55,Male,Unskilled & Non-resident,Own,Little,Rich,12543,Car
19,Male,Skilled,Rent,Quite Rich,Rich,3940,Business
38,Male,Skilled,Own,Little,Little,6144,Car
50,Female,Highly Skilled,Own,Quite Rich,Moderate,11018,Furniture/Equipment
29,Male,Unskilled & Non-resident,Free,Moderate,Little,15052,Furniture/Equipment
39,Female,Highly Skilled,Free,Rich,Rich,3414,Car
61,Male,Highly Skilled,Free,Little,Rich,14084,Radio/TV
42,Female,Unskilled & Non-resident,Free,Quite Rich,Moderate,12644,Education
